﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1cXRnIZuCVSZsdjUlptFiT","Kal Bugün","Can Bonomo","Kâinat Sustu","1","2","234208","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:46q5BtHso0ECuTKeq70ZhW","How Bizarre","OMC","How Bizarre (Deluxe)","1","2","225699","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1aRABBOEWL5ArSWcNdFnOv","Hint Kumaşı","maNga","Işıkları Söndürseler Bile","1","4","283336","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:21jBRxUvrWXTwBfGnQwyVy","Another Brick In The Wall, Pt. 2 - 2011 Remastered Version","Pink Floyd","The Wall [2011 - Remaster] (2011 Remastered Version)","1","5","238746","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0Ln5tJyLX5qusquBOtq7wf","Fire","Kasabian","West Ryder Pauper Lunatic Asylum","1","11","252279","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0sTHEo24E8LxasEkSnpUkx","Ghostbusters - From "Ghostbusters"","Ray Parker, Jr.","80s 100 Hits","1","6","238720","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0M7gRVPeVUAUDbS8N0kmdb","Speck of Dust","Fellows","Speck of Dust","1","1","247250","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5ou2BiQ9FxIYkxsYvYHpAT","Help! - Remastered","The Beatles","Help! (Remastered)","1","1","139560","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:13bEwk7dTy0RdOAY3ZNNBD","Golden Touch - Full Length","Razorlight","Up All Night","1","8","205213","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6ADa5ZRSPjAniApVSdQXdX","Haunted Mines","Glenn Stafford, Jason Hayes","Heroes of the Storm (Original Game Soundtrack)","1","4","175573","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:122AOGwKIrI40hLGYRwirG","Rockabye (feat. Sean Paul & Anne-Marie) - Thomas Rasmus Chill Mix","Clean Bandit, Sean Paul, Anne-Marie, Thomas Rasmus","Rockabye (feat. Sean Paul & Anne-Marie) [Remixes]","1","4","218773","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6Jj1Bb2s0gAOhH4yCGjDvh","Roulette","System Of A Down","Steal This Album!","1","15","201200","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5EATFk0nufT4iw0BUqDi1O","Regretroid","Starbomb","Starbomb","1","10","117931","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4ACxa9buEUnOdYEoPcnMpi","Your Woman","White Town","Women In Technology","1","4","259893","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5RStjc42UAYI2NMY3cYpgz","Penny Lane - Remastered","The Beatles","Magical Mystery Tour (Remastered)","1","9","180893","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6Ep6BzIOB9tz3P4sWqiiAB","Radioactive","Imagine Dragons","Night Visions (Deluxe)","1","1","186813","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0P4JuEXYJmu2Q7BTtQW5nR","Fear Of The Dark - 1998 Remastered Version","Iron Maiden","Fear Of The Dark (1998 Remastered Edition)","1","12","436826","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:40riOy7x9W7GXjyGp4pjAv","Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","1","1","391376","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:48UPSzbZjgc449aqz8bxox","Californication","Red Hot Chili Peppers","Californication (Deluxe Version)","1","6","329733","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:20uxrdhmTo3mWhCZlo21d2","I Don't Speak Human","OMNIA","Musick and Poëtree","1","4","276786","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0JbM29a1k07ih4Smajh6UW","Push It to the Limit","Push It to the Limit Project","Push It to the Limit","1","1","226460","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:7aUQKqlFwXVxWgEiIfargD","Morphine","Thomas Gold, Lush & Simon","Morphine","1","1","192000","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5A6OHHy73AR5tLxgTc98zz","Black and Yellow","Wiz Khalifa","Rolling Papers","1","3","217666","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3PPsSOfwcXMB1TbmG8BUeB","Don't Listen To The Radio","The Vines","Don't Listen To The Radio","1","1","131840","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4ZNSWkJBsaexlHG0tYvCkT","Yanımda Kal","Harun Kolçak, Gökhan Türkmen","Çeyrek Asır","1","3","278821","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4ZW46Kgf0SK3pOzBQDY5cM","Olay","Ayse Hatun Onal","Selam Dengesiz","1","3","209639","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4d4AIYFkR8MSWtKBmphyir","Give It All","Rise Against","Siren Song Of The Counter-Culture (Japan Version / International Version)","1","9","169830","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0erJaxVPB9vEky42193GSL","Yaz Gazeteci","Derdiyoklar","Istanbul 70: Psych, Disco, Folk Edits by Baris K - Vol. I","1","2","304466","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6Sa2IXbpv1TTpYdBY0dJXH","Love Me Back","Can Bonomo","Love Me Back","1","1","181745","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2fMhwt77wUh3noEuedB3Nt","Cambaz","mor ve ötesi","Dünya Yalan Söylüyor","1","2","230600","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2avaSeKHI5l4sLruVfLdi2","Burning Heart","Survivor","Rocky IV","1","1","230202","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6VRghJeP6I0w1KxkdWFfIh","Believer","Imagine Dragons","Believer","1","1","203782","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1qK5u5QMcAuDMbyTipbNBy","The Dragon's Daughter "Game of Thrones"","Melodysheep","The Dragon's Daughter "Game of Thrones"","1","1","187200","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped Up Kicks","Foster The People","Torches","1","2","239600","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6qLGmqg7yfTVotHvxVClZ8","Yerli Plaka","Ceza","Yerli Plaka","1","2","274693","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:51pQ7vY7WXzxskwloaeqyj","Stairway to Heaven - 1990 Remaster","Led Zeppelin","Led Zeppelin IV","1","4","478173","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3XPZZPOZatAxwHAV7sh4K7","Through the Fire and Flames","DragonForce","In the Line of Fire (Live)","1","9","477760","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6RB5dN1cZjRaPdaJKn8H8M","Something Really Bad","Dizzee Rascal, will.i.am","The Fifth (Deluxe)","1","7","220746","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5CTFnUVbfe2N8GsJlAPwgF","Destiny","Dan Bull","Generation Gaming VI","1","12","301330","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5PKtqiUwkjveVYzmj4gMnz","Training Montage","Vince DiCola","Rocky IV","1","10","218731","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0BAjUM6V9P9g8rK83hVUTJ","The Unforgiven","Metallica","Metallica","1","4","386493","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6LXRvh3S8TB5P1PKy4lY1S","Alors On Danse - Radio Edit","Stromae","Cheese","1","5","206066","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6R15sXb3qRfJOsIbt1vS2a","Beep Beep I'm a Sheep","LilDeuceDeuce, TomSka, Black Gryph0n","Beep Beep I'm a Sheep","1","1","131904","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0yki8SRGIYPbhaCxAu0gHT","Meczup","Can Bonomo","Meczup","1","10","229721","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:32IMcJ5pQ71rOFD0bIdneJ","Get Jinxed","League of Legends","The Music of League of Legends, Vol. 1","1","13","154960","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3UJbZGDbx3xT5zTMmI0Za2","Fat Stacks (Breaking Bad)","Melodysheep","Fat Stacks (Breaking Bad)","1","1","154960","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3SxiAdI8dP9AaaEz1Z24mn","Earthquake","Labrinth, Tinie Tempah","Electronic Earth","1","2","274600","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5eZiC96lRq6IPHEOnbw0KS","Up Is Down","Hans Zimmer","Pirates Of The Caribbean: At World's End Original Soundtrack","1","5","162200","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:6PvjNYQ0cWU5zOyb3HUm7U","Roadie","Tenacious D","Rize Of The Fenix","1","6","178546","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:7JG7tn9tgEy2NwuPVAIkzE","Firtinam","Hayko Cepkin","Sakin Olmam Lazim","1","9","301720","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5xFuYnKruaC6AVbg9GDHuv","Here Comes The Rain Again","Hypnogaja","Below Sunset","1","7","281533","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:70AhDADPvD8cRhjfgBUjhZ","Just The Two Of Us","Grover Washington, Jr., Bill Withers","Love's Greatest Hits","1","6","237666","spotify:user:","2017-11-18T00:41:16Z"
