﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5b7OgznPJJr1vHNYGyvxau","Fly Me To The Moon (In Other Words)","Frank Sinatra, Count Basie","Sinatra/Basie: The Complete Reprise Studio Recordings","1","11","147000","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:58kNJana4w5BIjlZE2wq5m","I'll Make a Man Out of You","Donny Osmond, Chorus - Mulan","Mulan Original Soundtrack","1","5","202120","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:7rlvUriPjHsXuoTNJeonJu","Kanatlarım Var Ruhumda","Nil Karaibrahimgil","Kanatlarım Var Ruhumda","1","1","184080","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:53BIF7mH7UL7yTzOsKIoEw","Jump Up, Super Star!","Adriana Figueroa, Insaneintherain","Jump Up, Super Star!","1","1","244500","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:4O7ZMlEljJBSYU9rFXvpUD","Ben Böyleyim","Athena","Ben Böyleyim","1","1","201409","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:4fs51wRnDJo4XrRdk6h0GD","Mmm Yeah (feat. Pitbull)","Austin Mahone, Pitbull","The Secret","1","3","231624","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:58N360dQMsyXxgU8pA5vxb","Düşün ki","Sancak","Gözyaşı","1","1","182934","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5T8Fiq5hPALY1La8BqlYYn","Sıfır Tolerans - Mahmut Orhan Remix","Hadise","Şampiyon","1","8","297629","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:0zREtnLmVnt8KUJZZbSdla","Wavin' Flag","K'NAAN","Troubadour","1","7","220520","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5nl1rwc594g3MuaL8ZMKe3","This Land Is Mine (Exodus)","Ernest Gold, Charles Eugene Patrick Boone, Noah Stewart, Philharmonia Orchestra, Nicholas Dodd","Noah","1","13","213946","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:6s9iK4Hf5nLhdDMCnkDV3T","Gay Bar","Electric Six","Fire","1","8","140906","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5dLdWFruHNzWAkRWQMi9A6","I Am a Stone","Demon Hunter","True Defiance (Deluxe Edition)","1","13","346013","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:7p1gpnM38JVMnXMX5ckeng","Seher Vakti (Demo)","Barış Manço","Golden Rollers","1","5","147901","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:4OrhNE33pXxUt7mRmACq8S","Riding the Fourth Wave","Streetlight Manifesto","Keasbey Nights","1","8","132320","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:61S0mEfdRtJ62Fc7fPqx0U","Feeling Good","Nina Simone","I Put A Spell On You","1","7","174000","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2DsDRSfkU7kwxHMPe0yU2x","Night Drive","Teminite","Inception","1","7","261130","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:66GaHvEaLDmbJctvz1c94E","Theme From " New York, New York" - Live At Reunion Arena, Dallas, Texas / October 24, 1987","Frank Sinatra","Standing Room Only","3","18","235946","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:40tAOP3DPqmVD6L1h45Jp6","My Way","Frank Sinatra","Ultimate Sinatra","1","22","274933","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:0vLwL4xuJ3s7SeaCdvMqkY","Call Me","Blondie","Best Of Blondie","1","10","212893","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2etIQ2pr2HzOLgKAlJf2IO","Call Me - Instrumental","Blondie","Call Me","1","2","209093","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5gF9zOYM9TmSzKHukbNjpB","Please Tell Rosie","Alle Farben, Younotus","Music Is My Best Friend","1","2","172640","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1PiBAsovKFuzxc8J7Gv9xr","On the Beach at Night","Curtis Schweitzer","Starbound Experimental (Original Soundtrack)","1","25","256783","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
