﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4Vkk3iD1VrENHJEACNddvt","Moanin'","Art Blakey","Moanin' (The Rudy Van Gelder Edition)","1","2","570720","spotify:user:seyahdoo","2018-04-02T09:55:51Z"
"spotify:track:1dX6oGAG5PaexuPj29PsYd","I Can't Go On Without You","KALEO","A/B","1","10","377000","spotify:user:seyahdoo","2018-04-02T09:55:57Z"
"spotify:track:2VoLg2kV27ZMKJrCXFPL0o","Unicorn - Original Mix","TAI, le Shuuk","Unicorn","1","1","318750","spotify:user:seyahdoo","2018-04-28T22:33:39Z"
"spotify:track:39rqDP2s2hN1JtXptyeM3u","Ignite - 2016 League Of Legends World Championship","Zedd","Ignite (2016 League Of Legends World Championship)","1","1","195466","spotify:user:seyahdoo","2018-05-04T17:33:45Z"
"spotify:track:2Z6OEK2vOMGJKH9hkoUKd6","Was Lange Währt","Equilibrium","Erdentempel","1","2","310493","spotify:user:seyahdoo","2018-05-04T20:21:37Z"
"spotify:track:0eGKgTwsH0vUqFrLx5oVnT","In The Sky (Horizon) [feat. David Spekter]","East & Young, David Spekter","In The Sky (Horizon) [feat. David Spekter]","1","1","177179","spotify:user:seyahdoo","2018-05-06T07:08:46Z"
"spotify:track:2RQRQs1rxf5v4EW6RTfx6J","Liar Liar","Avicii","True","1","6","238853","spotify:user:seyahdoo","2018-05-10T12:02:12Z"
"spotify:track:7uTMsnMvN3sWoTZTXGuC1a","Herkesin Bir Derdi Var (Cerrahpaşa)","Volkan Konak","Maranda","1","3","256173","spotify:user:seyahdoo","2018-05-14T10:02:37Z"
"spotify:track:3b0EOvScbZUc0qJx0E1L2z","I Want You Back","The Jackson 5","Diana Ross Presents The Jackson 5","1","3","176333","spotify:user:seyahdoo","2018-05-14T10:02:48Z"
"spotify:track:0vLwL4xuJ3s7SeaCdvMqkY","Call Me","Blondie","Best Of Blondie","1","10","212893","spotify:user:seyahdoo","2018-05-24T17:09:44Z"
"spotify:track:40tAOP3DPqmVD6L1h45Jp6","My Way","Frank Sinatra","Ultimate Sinatra","1","22","274933","spotify:user:seyahdoo","2018-05-27T22:37:26Z"
"spotify:track:6sNNpnZrtP9mSQQVvIUr3h","Tencere Kapak","Kenan Doğulu","Aşka Türlü Şeyler","1","8","256040","spotify:user:seyahdoo","2018-06-15T16:10:18Z"
"spotify:track:07R7GQuko9rlFIE7lC40Ha","Starting Soon","tiasu, witwix","Starting Soon","1","1","286666","spotify:user:seyahdoo","2018-06-27T08:29:41Z"
"spotify:track:4fs51wRnDJo4XrRdk6h0GD","Mmm Yeah (feat. Pitbull)","Austin Mahone, Pitbull","The Secret","1","3","231624","spotify:user:seyahdoo","2018-07-09T09:46:00Z"
"spotify:track:508AvcfQL1jBYNdSrA1GVn","La valse d'Amélie - Version originale","Yann Tiersen","Amelie from Montmartre","1","3","135906","spotify:user:seyahdoo","2018-08-18T16:34:27Z"
"spotify:track:58kNJana4w5BIjlZE2wq5m","I'll Make a Man Out of You","Donny Osmond, Chorus - Mulan","Mulan Original Soundtrack","1","5","202120","spotify:user:seyahdoo","2018-08-20T12:58:27Z"
"spotify:track:6ub55yoDn33PJ3Wjr3lf3k","My Time Again","The Rumjacks","Gangs Of New Holland","1","5","233813","spotify:user:seyahdoo","2018-10-08T09:27:13Z"
"spotify:track:1dZpYvX5JUfh4QfH2NJlq4","The Legend of Zelda","Tina Guo","Game On!","1","1","358173","spotify:user:seyahdoo","2018-11-09T05:53:54Z"
"spotify:track:1gb5sUe1CuRBuT8twq8uhw","Walk Like an Egyptian","The Bangles","80s 100 Hits","1","8","192813","spotify:user:seyahdoo","2018-11-13T17:00:13Z"
"spotify:track:5sbooPcNgIE22DwO0VNGUJ","POP/STARS","K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends","POP/STARS","1","1","191100","spotify:user:seyahdoo","2018-12-25T08:41:44Z"
"spotify:track:4tz4iMAfqen0XFNRJo1lAb","Mic Drop","Manic Drive","Mic Drop","1","1","210402","spotify:user:seyahdoo","2018-12-25T08:41:48Z"
